Course,Link,GMAT,IELTS,Degree
cybersecurityengineering,https://warwick.ac.uk/study/postgraduate/courses/cybersecurityengineering,,"IELTS overall score of 6.5, minimum component scores not below 6.0","Explore our Cyber Security Engineering taught Master's degree.Explore our Cyber Security Engineering taught Master's degree. undergraduate degree (or equivalent) in IT, Computer Science, or a related subject.Our Postgraduate Research degreesRobe hire for your degree ceremony"
cybersecuritymanagement,https://warwick.ac.uk/study/postgraduate/courses/cybersecuritymanagement,,"IELTS overall score of 6.5, minimum component scores not below 6.0","Explore our Cyber Security Management taught Master's degree.Explore our Cyber Security Management taught Master's degree. undergraduate degree (or equivalent) in IT, Computer Science, or a related subject. Our Postgraduate Research degreesRobe hire for your degree ceremony"
dataanalytics,https://warwick.ac.uk/study/postgraduate/courses/dataanalytics,,"IELTS overall score of 6.5, minimum component scores not below 6.0.","Explore our Data Analytics taught Master's degree.Explore our Data Analytics taught Master's degree.First Class Honours degree or a high 2:i undergraduate degree. The degree must be in Computer Science, Mathematics, Statistics, Physics, or another relevant quantitatively-focused degree.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
,https://warwick.ac.uk/study/postgraduate/courses/datavisualisation/,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above.","Explore our Data Visualisation taught Master's degree.Explore our Data Visualisation taught Master's degree.The MASc is a flexible degree where students customise their learning trajectory through interdisciplinary topics and modules that might usually be isolated to either MA or MSc qualifications. Through optional module choices, project directions and final dissertation, you can tune your degree to fit your learning and career goals.Skills from this degree2:i undergraduate degree (or equivalent). There is no requirement for prior knowledge of coding or programming.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
diabetes,https://warwick.ac.uk/study/postgraduate/courses/diabetes,,,A good Honours Bachelor’s degree (or equivalent experience/professional qualifications which will be considered by the Course Director on a case by case basis) and experience of working in the healthcare sector.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick.
digitalmediaculture,https://warwick.ac.uk/study/postgraduate/courses/digitalmediaculture,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above.","Explore our Digital Media and Culture taught Master's degree.Explore our Digital Media and Culture taught Master's degree.Digital media today affect all aspects of everyday, professional and public life, and understanding its significance requires interdisciplinary knowledge. Based at the Centre for Interdisciplinary Methodologies (CIM) at the University of Warwick, the MA Programme in Digital Media and Culture is an advanced one-year postgraduate degree that addresses the role of digital technologies, media, and infrastructures in relation to culture, economics, politics, and society. Drawing on multiple disciplines, the degree supports critical approaches to key topics in digital culture, including: Based at a research centre promoting cutting-edge scholarship in these areas, our degree is primarily research-driven. MA students will be encouraged to select their own path through the degree and contribute to the culture of CIM by attending invited talks, participating in workshops, and organising interdisciplinary symposiums. 2:i undergraduate degree.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
b2bmarketingdip,https://warwick.ac.uk/study/postgraduate/courses/b2bmarketingdip,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above","If you’re interested in the bigger picture, comfortable challenging assumptions and want a degree that will open doors, then WBS is the place for you. We will give you the foundation for change and prepare you for your future career. Are you ready to make your mark in the world of business?Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
digitalleadershipdip,https://warwick.ac.uk/study/postgraduate/courses/digitalleadershipdip,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above.","If you’re interested in the bigger picture, comfortable challenging assumptions and want a degree that will open doors, then WBS is the place for you. We will give you the foundation for change and prepare you for your future career. Are you ready to make your mark in the world of business?Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
organisationalchangedip,https://warwick.ac.uk/study/postgraduate/courses/organisationalchangedip,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above.","If you’re interested in the bigger picture, comfortable challenging assumptions and want a degree that will open doors, then WBS is the place for you. We will give you the foundation for change and prepare you for your future career. Are you ready to make your mark in the world of business?Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
strategicleadershipdip,https://warwick.ac.uk/study/postgraduate/courses/strategicleadershipdip,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above.","If you’re interested in the bigger picture, comfortable challenging assumptions and want a degree that will open doors, then WBS is the place for you. We will give you the foundation for change and prepare you for your future career. Are you ready to make your mark in the world of business?Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
strategyinnovationdip,https://warwick.ac.uk/study/postgraduate/courses/strategyinnovationdip,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above.","If you’re interested in the bigger picture, comfortable challenging assumptions and want a degree that will open doors, then WBS is the place for you. We will give you the foundation for change and prepare you for your future career. Are you ready to make your mark in the world of business?Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
mphilphddiscoursestudies,https://warwick.ac.uk/study/postgraduate/courses/mphilphddiscoursestudies,,IELTS overall score of 7.0 (with a 7.0 in Writing).,"2:i undergraduate degree (or equivalent) in ELT/TESOL, English, Education, Linguistics, Languages or a relevant discipline; a Master’s degree in ELT/TESOL, Applied Linguistics or a relevant discipline.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
dramatheatreed,https://warwick.ac.uk/study/postgraduate/courses/dramatheatreed,,"IELTS score to 7 overall, two at 6.0/6.5 & rest 7.0+","Explore our Drama and Theatre Education taught Master's degree.Explore our Drama and Theatre Education taught Master's degree.Skills from this degree2:ii undergraduate degree (or equivalent).The dissertation is an opportunity to explore, in depth, an area of academic and/or professional interest related to your degree. Building on the knowledge and skills developed during the Foundation Research Methods module, and your other modules, you will conduct an independent research project, developing a deeper understanding of your chosen topic. From your research project you will produce a dissertation, with guidance from a supervisor who will be allocated to you. Through the dissertation you will demonstrate the ability to analyse and synthesise relevant literature, produce coherent arguments supported by relevant evidence and logical discussion, and acknowledge sources of ideas and information.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
dramaeducationelt,https://warwick.ac.uk/study/postgraduate/courses/dramaeducationelt,,"IELTS score to 7 overall, two at 6.0/6.5 & rest 7.0+","Explore our Drama Education and English Language Teaching, taught Master's degree.Explore our Drama Education and English Language Teaching, taught Master's degree.Skills from this degree2:ii undergraduate degree (or equivalent).We are making some exciting changes to our Drama Education and English Language Teaching (MA) degree for 2022 entry. Our core and optional modules are currently undergoing approval through the University's rigorous academic processes. As changes are confirmed, we will update the course information on this webpage. It is therefore very important that you check this webpage for the latest information before you apply and prior to accepting an offer.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
ebusinessmanagement,https://warwick.ac.uk/study/postgraduate/courses/ebusinessmanagement,,"IELTS overall score of 6.5, minimum component scores not below 6.0","Explore our e-Business Management taught Master's degree.Explore our e-Business Management taught Master's degree.This degree will equip you with the techniques to manage the strategic development of e-business based organisations and appropriate e-business technologies. You will develop the skills and knowledge to evaluate, manage, and improve the operational functions of an organisation and to apply the concepts of systems integration to the design and development of products and services through market analysis. undergraduate degree (or equivalent) in an IT, media, communications, business, data, science or technology related discipline.We are making some exciting changes to our e-Business Management (MSc) degree for 2022 entry. Our core and optional modules are currently undergoing approval through the University's rigorous academic processes. As changes are confirmed, we will update the course information on this webpage. It is therefore very important that you check this webpage for the latest information before you apply and prior to accepting an offer.Our Postgraduate Research degreesRobe hire for your degree ceremony"
earlymodhistory,https://warwick.ac.uk/study/postgraduate/courses/earlymodhistory,,"IELTS overall score of 7.5, minimum component scores of two at 6.5/7.0 and the rest at 7.5 or above.","Explore our Early Modern History taught Master's degree.Explore our Early Modern History taught Master's degree.2:i undergraduate degree (or equivalent) in a related subjectThis is a core module for the Early Modern History MA degree. It addresses key themes and historiographies, drawing on the expertise of a wide range of the early modernists at Warwick. Each session will be led by a different expert, ensuring you are exposed to as many different viewpoints and approaches as possible. The module will cover the period c.1450-c.1800, and although much of it will focus on Britain and European countries it will also seek to place them in their wider global and colonial context. The module will help to prepare students for term two modules, which take a more thematic approach.
  This is a core module for the Early Modern History MA degree. It addresses key themes and historiographies, drawing on the expertise of a wide range of the early modernists at Warwick. Each session will be led by a different expert, ensuring you are exposed to as many different viewpoints and approaches as possible. The module will cover the period c.1450-c.1800, and although much of it will focus on Britain and European countries it will also seek to place them in their wider global and colonial context. The module will help to prepare students for term two modules, which take a more thematic approach.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
economicsdiplomamsc,https://warwick.ac.uk/study/postgraduate/courses/economicsdiplomamsc,,"IELTS overall score of 6.5, minimum component scores not below 6.0.","Explore our Economics taught Diploma Master's degree.Economics Diploma plus MSc is available for those converting from a first degree subject other than Economics. Train in the core components of modern economic analysis and appropriate quantitative methods within Warwick's Economics Department, ranked 3rd in the UK (The Complete University Guide 2022) and 25th the World (The QS World University Subject Rankings 2021).Explore our Economics taught Diploma Master's degree.The Diploma plus MSc programme is available for those who plan to convert from a first degree subject other than Economics to a Master’s in Economics. Following a successful completion of the Diploma to a required standard you will then be eligible to progress onto our MSc programmes in Year Two.2:i undergraduate degree (or equivalent). You must have a strong background in Mathematics and Statistics. This means you should have achieved a good standard in quantitative modules as part of your undergraduate degree, or have at least an A grade at A level Mathematics (or equivalent).We are making some exciting changes to our Economics Diploma plus MSc for 2022 entry. The core and optional modules for this degree are currently undergoing approval through the University’s rigorous academic processes. As changes are confirmed, we will update the course information on this webpage. It is therefore very important that you check this webpage for the latest information before you apply and prior to accepting an offer. Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
economicsmres,https://warwick.ac.uk/study/postgraduate/courses/economicsmres,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above.",Explore our Economics taught integrated Master's degree.Explore our Economics taught integrated Master's degree.Skills from this degreeFirst Class Honours degree (or equivalent) in a related subject or Distinction at Master's level.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick.
economicsmresphd,https://warwick.ac.uk/study/postgraduate/courses/economicsmresphd,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above."," is not necessary at the stage of application; all successful applicants enrol in the MRes degree first, but you can upload a statement of purpose if you wish.First Class undergraduate degree (or equivalent) and/or MSc with distinction, as well as GRE General Test quantitative section scores of 800/166.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
economicsmsc,https://warwick.ac.uk/study/postgraduate/courses/economicsmsc,,"IELTS overall score of 6.5, minimum component scores not below 6.0.","Explore our Economics taught Master's degree.Explore our Economics taught Master's degree.Skills from this degree2:i undergraduate degree (or equivalent) specialising mainly in economics. This means you should have achieved a good standard in undergraduate courses in microeconomics, macroeconomics and econometrics/ economics statistics at an intermediate level. Students need to have previously completed undergraduate courses in microeconomics, macroeconomics and econometrics/economic statistics at an intermediate level. The MSc Economics is a quantitative degree and students will need to be competent in several areas of mathematics. All students attend a short pre-sessional mathematics and statistics course before the term starts.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
economicsdatascience,https://warwick.ac.uk/study/postgraduate/courses/economicsdatascience,,,"This course will not be available for 2022 entry, but you may be interested in our other Master's degrees below.This course will not be available for 2022 entry, but you may be interested in our other Master's degrees below."
economicshealtheconomics,https://warwick.ac.uk/study/postgraduate/courses/economicshealtheconomics,,,"This course will not be available for 2022 entry, but you may be interested in our other Master's degrees below.This course will not be available for 2022 entry, but you may be interested in our other Master's degrees below."
internationaleconomics,https://warwick.ac.uk/study/postgraduate/courses/internationaleconomics,,"IELTS overall score of 6.5, minimum component scores not below 6.0.","Explore our Economics and International Financial Economics taught Master's degree.Explore our Economics and International Financial Economics taught Master's degree.Skills from this degree2:i undergraduate degree (or equivalent) specialising mainly in economics. This means you should have achieved a good standard in undergraduate courses in microeconomics, macroeconomics and econometrics/economic statistics at an intermediate level. Students need to have previously completed undergraduate courses in microeconomics, macroeconomics and econometrics/economic statistics at an intermediate level. The MSc Economics and International Financial Economics (MSc) is a quantitative degree and students will need to be competent in several areas of mathematics. All students attend a short pre-sessional mathematics and statistics course before the term starts.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
educationdoctorate,https://warwick.ac.uk/study/postgraduate/courses/educationdoctorate,,,A good honours degree and at least two years' professional experience in an educational setting. Applications from those without a good honours degree but with substantial professional experience will be considered.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick.
educationma,https://warwick.ac.uk/study/postgraduate/courses/educationma,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above.",Explore our Education taught Master's degree.Explore our Education taught Master's degree.Skills from this degree2:ii undergraduate degree (or equivalent).Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick.
educationmphilphd,https://warwick.ac.uk/study/postgraduate/courses/educationmphilphd,,,"2:i undergraduate degree (or equivalent) in Education, any relevant Social Sciences or Humanities discipline, or another relevant discipline if justified. A Master’s degree in Education, any relevant Social Sciences or Humanities discipline, or another relevant discipline if justified.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
educationpsychology,https://warwick.ac.uk/study/postgraduate/courses/educationpsychology,,"IELTS overall score of 6.5, minimum component scores not below 6.0.",2:i undergraduate degree (or equivalent) in a related subject.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick.
educationalinnovation,https://warwick.ac.uk/study/postgraduate/courses/educationalinnovation,,"IELTS score to 7 overall, two at 6.0/6.5 & rest 7.0+",Explore our Educational Innovation taught Master's degree.Explore our Educational Innovation taught Master's degree.Skills from this degree2:ii undergraduate degree (or equivalent).Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick.
educationalleadership,https://warwick.ac.uk/study/postgraduate/courses/educationalleadership,,"IELTS score to 7 overall, two at 6.0/6.5 & rest 7.0+","Explore our Educational Leadership and Management taught Master's degree.Explore our Educational Leadership and Management taught Master's degree.Skills from this degree2:ii undergraduate degree (or equivalent).The dissertation is an opportunity to explore, in depth, an area of academic and/or professional interest related to your degree. Building on the knowledge and skills developed during the Foundation Research Methods module, and your other modules, you will conduct an independent research project, developing a deeper understanding of your chosen topic.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
electricalpowerengineering,https://warwick.ac.uk/study/postgraduate/courses/electricalpowerengineering,,"IELTS overall score of 6.5, minimum component scores not below 6.0.","Explore our Electrical Power Engineering taught Master's degree.Explore our Electrical Power Engineering taught Master's degree.2:ii undergraduate degree (or equivalent) in a relevant branch of engineering or science.The degree comprises eight taught modules and a project. The research project entails an in-depth experimental, theoretical or computational investigation into a topic chosen by the student in conjunction with an academic supervisor.The MSc degree (totalling 180 credits) comprises: Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
employmentresearch,https://warwick.ac.uk/study/postgraduate/courses/employmentresearch,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above.",2:i undergraduate degree (or equivalent) in a relevant subject and a good Master’s degree (or equivalent) in the social sciences. Previous studies should have included training in social science methodology.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick.
engineeringmscr,https://warwick.ac.uk/study/postgraduate/courses/engineeringmscr,,"IELTS overall score of 6.5, minimum component scores not below 6.0.","Find out more about this Research in Engineering research Master's degree.Find out more about this Research in Engineering research Master's degree.To satisfy the requirements for a Masters by Research degree, the thesis shall be clearly and concisely written, show evidence of originality in knowledge and interpretation, and shall also be judged on its scholarly presentation. In addition, it shall contain a full bibliography.The examiners may require the candidate to attend an oral examination. If an oral examination is held, this must be completed in line with University conventions to meet the requirements for the award of the degree. Research degree courses do not contain any interim examinations, but we will expect you to attend lecture modules on appropriate topics.2:i undergraduate degree in a related subject or Master’s degree at merit level (or equivalent).Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
engineeringmphilphd,https://warwick.ac.uk/study/postgraduate/courses/engineeringmphilphd,,"IELTS overall score of 6.5, minimum component scores not below 6.0. ","2:i undergraduate degree and/or a Master’s degree (or equivalent) in Engineering, Computer Science, Chemistry, Physics, Maths or a relevant subject.Robe hire for your degree ceremonyOur Postgraduate Research degrees"
engineeringphd,https://warwick.ac.uk/study/postgraduate/courses/engineeringphd,,"IELTS overall score of 6.5, minimum component scores not below 6.0.","Students register in the first instance for the degree of MPhil unless otherwise approved by the Board of Graduate Studies. Subject to satisfactory progress, registration may be upgraded to the degree of PhD.  You must attend an oral examination (viva voce), which shall cover the thesis itself and the field of study in which the thesis has been written. The examiners may also require that you take a written and/or practical examination. You must complete the oral examination and written and/or practical examination satisfactorily to satisfy the requirements for the degree.2:i undergraduate degree in a related subject or Master’s degree at merit level (or equivalent).Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
engineeringbusinessmanagement,https://warwick.ac.uk/study/postgraduate/courses/engineeringbusinessmanagement,,"IELTS overall score of 6.5, minimum component scores not below 6.0","Explore our Engineering Business Management taught Master's degree.Explore our Engineering Business Management taught Master's degree.This course has been designed to be accredited by the Institution of Engineering and Technology (IET) on behalf of the Engineering Council as meeting the requirements for Further Learning for registration as a Chartered Engineer. Candidates must hold a CEng accredited BEng/BSc (Hons) undergraduate first degree to comply with full CEng registration requirements. undergraduate degree (or equivalent) in IT, engineering, science or business.Our Postgraduate Research degreesRobe hire for your degree ceremony"
engineeringdoctorateengd,https://warwick.ac.uk/study/postgraduate/courses/engineeringdoctorateengd,,"IELTS overall score of 6.5, minimum component scores not below 6.0.","2:i undergraduate degree and/or a Master’s degree (or equivalent) in Engineering, Computer Science, Chemistry, Physics, Maths or a relevant subject. Robe hire for your degree ceremonyOur Postgraduate Research degrees"
englishmphilphd,https://warwick.ac.uk/study/postgraduate/courses/englishmphilphd,,"IELTS overall score of 7.5, minimum component scores of two at 6.5/7.0 and the rest at 7.5 or above.","A PhD is undertaken for a variety of reasons: as preliminary training for an academic career; as an advanced degree that may contribute to a future career in other sectors; or simply as an exciting and rewarding pursuit. Your final dissertation of approximately 80,000 words is expected to make an original contribution to knowledge.As a research student, your closest contact will be with your supervisor, or co-supervisors, who will meet with you regularly to discuss your work. The supervisory relationship is at the heart of your research. Your supervisor(s) are experts in their field who will guide you throughout your degree and will agree upon a programme of reading, research and writing with you.2:i undergraduate degree (or equivalent) in a relevant subject. You must hold, or be currently studying for, an MA or international equivalent in a relevant discipline, with a predicted or final mark of 65 or above. Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
englishanddrama,https://warwick.ac.uk/study/postgraduate/courses/englishanddrama,,"IELTS overall score of 7.5, minimum component scores of two at 6.5/7.0 and the rest at 7.5 or above.",Explore our English and Drama taught Master's degree.Explore our English and Drama taught Master's degree.65% in an undergraduate degree (or equivalent) in a related subject.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick.
mphilphdenglishlt,https://warwick.ac.uk/study/postgraduate/courses/mphilphdenglishlt,,IELTS overall score of 7.0 (with a 7.0 in Writing).,"2:i undergraduate degree (or equivalent) in ELT/TESOL, English, Education, Linguistics, Languages or a relevant discipline; a Master’s degree in ELT/TESOL, Applied Linguistics or a relevant discipline.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
mphilphdeltappliedling,https://warwick.ac.uk/study/postgraduate/courses/mphilphdeltappliedling,,IELTS overall score of 7.0 (with a 7.0 in Writing).,"2:i undergraduate degree (or equivalent) in ELT/TESOL, English, Education, Linguistics, Languages or a relevant discipline; a Master’s degree in ELT/TESOL, Applied Linguistics or a relevant discipline.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
englishlit,https://warwick.ac.uk/study/postgraduate/courses/englishlit,,"IELTS overall score of 7.5, minimum component scores of two at 6.5/7.0 and the rest at 7.5 or above.",Explore our English Literature taught Master's degree.Explore our English Literature taught Master's degree.65% (or equivalent) in an undergraduate degree in English Literature or a related degree. Applicants may be required to provide a writing sample to demonstrate suitability for the course.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick.
environmentalbioscience,https://warwick.ac.uk/study/postgraduate/courses/environmentalbioscience,,"IELTS overall score of 6.5, minimum component scores not below 6.0.",Explore our Environment Bioscience in a Changing Climate taught Master's degree.Explore our Environment Bioscience in a Changing Climate taught Master's degree.Skills from this degree2:ii undergraduate degree (or equivalent) in a related subject.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick.
filmandtv,https://warwick.ac.uk/study/postgraduate/courses/filmandtv,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above.",Explore our Film and Television Studies taught Master's degree.Explore our Film and Television Studies taught Master's degree.2:i undergraduate degree (or equivalent) in an adjacent subject.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick.
filmandtvresearch,https://warwick.ac.uk/study/postgraduate/courses/filmandtvresearch,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above.",Explore our MA for Research in Film and Television Studies Master's degree.Explore our MA for Research in Film and Television Studies Master's degree.First Class Honours undergraduate degree (or equivalent) in Film and/or Television Studies. Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick.
filmandtvmphilphd,https://warwick.ac.uk/study/postgraduate/courses/filmandtvmphilphd,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above.",A good Master’s degree (or equivalent) in a relevant discipline.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick.
finance,https://warwick.ac.uk/study/postgraduate/courses/finance,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above.","Explore our Finance taught Master's degree.Explore our Finance taught Master's degree.Skills from this degreeFirst Class Honours degree or a high 2:i undergraduate degree (or equivalent) in a related subject.You will be required to undertake an introductory course in a foreign language as part of your degree.If you’re interested in the bigger picture, comfortable challenging assumptions and want a degree that will open doors, then WBS is the place for you. We will give you the foundation for change and prepare you for your future career. Are you ready to make your mark in the world of business?Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
financeeconomicsmresphd,https://warwick.ac.uk/study/postgraduate/courses/financeeconomicsmresphd,"A GMAT or GRE score is required and should be provided as part of your application. However, we have no defined threshold and the score provided will be indicative to merely supplement and strengthen applications.","IELTS - overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above","An honours degree from a UK university or equivalent from an overseas university; plus a Masters degree, in economics or Finance (with a significant quantitative finance component). Accounting or Financial Mathematics may be considered with a significant finance component. A first-class degree and a distinction at Masters level is recommended but serves as a guideline only.Robe hire for your degree ceremonyIf you’re interested in the bigger picture, comfortable challenging assumptions and want a degree that will open doors, then WBS is the place for you. We will give you the foundation for change and prepare you for your future career. Are you ready to make your mark in the world of business?Here is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
financeeconomics,https://warwick.ac.uk/study/postgraduate/courses/financeeconomics,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above.","Explore our Finance and Economics taught Master's degree.Explore our Finance and Economics taught Master's degree.Skills from this degreeFirst Class Honours degree or a high 2:i undergraduate degree (or equivalent) in a related subject.If you’re interested in the bigger picture, comfortable challenging assumptions and want a degree that will open doors, then WBS is the place for you. We will give you the foundation for change and prepare you for your future career. Are you ready to make your mark in the world of business?Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
foodsecurity,https://warwick.ac.uk/study/postgraduate/courses/foodsecurity,,"IELTS overall score of 6.5, minimum component scores not below 6.0.",Explore our Food Security taught Master's degree.Explore our Food Security taught Master's degree.Skills from this degree2:ii undergraduate degree (or equivalent) in a related subject.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick.
foundationresearcheducation,https://warwick.ac.uk/study/postgraduate/courses/foundationresearcheducation,,"IELTS score to 7 overall, two at 6.0/6.5 & rest 7.0+",2:ii undergraduate degree (or equivalent).Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick.
frenchstudiesresearch,https://warwick.ac.uk/study/postgraduate/courses/frenchstudiesresearch,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above.",Find out more about this French Studies by Research Master's degree.Find out more about this French Studies by Research Master's degree.2:i undergraduate degree (or equivalent) in a related subject.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick.
frenchstudiesmphilphd,https://warwick.ac.uk/study/postgraduate/courses/frenchstudiesmphilphd,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above.",Find out more about this French Studies research MPhil/PhD degree.Find out more about this French Studies research MPhil/PhD degree.2:i undergraduate degree (or equivalent) and preferably a Master’s in a related subject.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick.
researchfrenchstudies,https://warwick.ac.uk/study/postgraduate/courses/researchfrenchstudies,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above.",Explore our Research in French and Francophone Studies taught Master's degree.Explore our Research in French and Francophone Studies taught Master's degree.Skills from this degree2:i undergraduate degree (or equivalent) in a related subject.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick.
genderdevelopment,https://warwick.ac.uk/study/postgraduate/courses/genderdevelopment,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above. ",Explore our Gender and International Development taught Master's degree.Explore our Gender and International Development taught Master's degree.Skills from this degree2:i undergraduate degree (or equivalent) in a related subject.Make Your Mark - Careers with a degree in SociologyRobe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick.
germanstudiesresearch,https://warwick.ac.uk/study/postgraduate/courses/germanstudiesresearch,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above.",Find out more about our German Studies research Master's degree.Find out more about our German Studies research Master's degree.2:i undergraduate degree (or equivalent) in a related subject.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick.
germanstudiesmphilphd,https://warwick.ac.uk/study/postgraduate/courses/germanstudiesmphilphd,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above.",2:i undergraduate degree (or equivalent) and preferably a Masters in a related subject.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick.
researchgermanstudies,https://warwick.ac.uk/study/postgraduate/courses/researchgermanstudies,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above.",Explore our German Studies taught Master's degree.Explore our German Studies taught Master's degree.Skills from this degree2:i undergraduate degree (or equivalent) in a related subject.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick.
